Strategy,Revenue,Profit,UnitsSold,ROI,ElasticityK,Run
none,582.3664420824822,291.1832210412411,58.23664420824822,0.5,6,22
promotion,225.9192871502852,100.40857206679343,25.102143016698356,0.4444444444444445,6,22
markdown,535.9808475019779,200.9928178132417,66.99760593774724,0.37499999999999994,6,23
none,456.44937352410767,228.22468676205384,45.64493735241077,0.5,6,23
promotion,435.1038122894381,193.37947212863915,48.34486803215979,0.4444444444444444,6,23
markdown,588.7002751251231,220.76260317192117,73.58753439064039,0.375,6,24
none,417.10028959961573,208.55014479980787,41.710028959961576,0.5,6,24
promotion,426.73643128387204,189.66063612616534,47.415159031541336,0.4444444444444444,6,24
markdown,421.7554209851628,158.15828286943605,52.71942762314535,0.375,6,25
none,448.57955673920935,224.28977836960468,44.857955673920934,0.5,6,25
promotion,552.2471463673638,245.4431761632728,61.3607940408182,0.4444444444444444,6,25
markdown,228.4508530336298,85.66906988761119,28.556356629203727,0.37500000000000006,6,26
none,550.8871749428887,275.44358747144435,55.08871749428887,0.5,6,26
promotion,627.5535754174589,278.9127001855373,69.72817504638432,0.4444444444444445,6,26
markdown,562.3405613135504,210.8777104925814,70.2925701641938,0.375,6,27
none,480.058823878803,240.0294119394015,48.005882387880305,0.5,6,27
promotion,384.89952625604144,171.06645611379616,42.76661402844904,0.44444444444444436,6,27
markdown,544.7674187725019,204.2877820396882,68.09592734656273,0.375,6,28
none,259.70395390164754,129.85197695082377,25.97039539016475,0.5,6,28
promotion,635.920956423025,282.6315361880111,70.65788404700278,0.4444444444444445,6,28
markdown,483.2614198788325,181.22303245456217,60.40767748485406,0.37499999999999994,6,29
none,369.8813888902252,184.9406944451126,36.988138889022515,0.5,6,29
promotion,577.3492893840621,256.5996841706943,64.14992104267357,0.4444444444444445,6,29
markdown,535.9808475019777,200.99281781324163,66.99760593774721,0.375,6,30
none,212.48505319225706,106.24252659612853,21.248505319225707,0.5,6,30
promotion,694.4926234619878,308.6633882053279,77.16584705133198,0.4444444444444444,6,30
markdown,799.5779856177046,299.8417446066392,99.94724820221307,0.375,6,31
none,346.27193853552996,173.13596926776498,34.627193853552996,0.5,6,31
promotion,301.22571620038025,133.8780960890579,33.46952402226447,0.4444444444444445,6,31
markdown,562.3405613135506,210.87771049258143,70.29257016419382,0.37499999999999994,6,32
none,558.7569917277868,279.3784958638934,55.87569917277869,0.5,6,32
promotion,301.22571620038036,133.87809608905792,33.46952402226448,0.44444444444444436,6,32
markdown,456.9017060672598,171.33813977522243,57.112713258407474,0.375,6,33
none,448.5795567392091,224.28977836960456,44.85795567392091,0.5,6,33
promotion,518.7776223450994,230.56783215337754,57.641958038344384,0.4444444444444445,6,33
markdown,790.7914143471802,296.54678038019256,98.84892679339752,0.375,6,34
none,251.83413711674913,125.91706855837457,25.183413711674913,0.5,6,34
promotion,410.00166927273983,182.2229641212177,45.555741030304425,0.4444444444444444,6,34
markdown,571.1271325840747,214.172674719028,71.39089157300934,0.375,6,35
none,354.14175532042844,177.07087766021422,35.41417553204284,0.5,6,35
promotion,510.4102413395332,226.84899615090364,56.71224903772591,0.4444444444444445,6,35
markdown,606.2734176661716,227.35253162481433,75.78417720827144,0.375,6,36
none,582.3664420824823,291.18322104124115,58.23664420824823,0.5,6,36
promotion,234.2866681558513,104.12740806926723,26.031852017316808,0.4444444444444444,6,36
markdown,606.2734176661716,227.35253162481433,75.78417720827144,0.375,6,37
none,448.57955673920924,224.28977836960462,44.85795567392093,0.5,6,37
promotion,376.5321452504754,167.34762011132239,41.836905027830596,0.44444444444444436,6,37
markdown,632.6331314777443,237.23742430415413,79.07914143471804,0.375,6,38
none,448.57955673920924,224.28977836960462,44.85795567392093,0.5,6,38
promotion,351.430002233777,156.19111210390088,39.04777802597522,0.4444444444444444,6,38
markdown,421.75542098516286,158.15828286943605,52.71942762314536,0.37499999999999994,6,39
none,519.4079078032951,259.70395390164754,51.94079078032951,0.5,6,39
promotion,476.94071731726865,211.9736521410083,52.993413035252075,0.4444444444444445,6,39
markdown,430.54199225568715,161.4532470958827,53.81774903196089,0.375,6,40
none,393.4908392449205,196.74541962246025,39.34908392449205,0.5,6,40
promotion,602.4514324007604,267.7561921781157,66.93904804452893,0.4444444444444444,6,40
markdown,571.1271325840747,214.172674719028,71.39089157300934,0.375,6,41
none,503.66827423349815,251.83413711674908,50.36682742334982,0.5,6,41
promotion,351.430002233777,156.19111210390088,39.04777802597522,0.4444444444444444,6,41
markdown,210.87771049258143,79.07914143471803,26.35971381157268,0.37499999999999994,6,42
none,574.4966252975839,287.24831264879197,57.4496625297584,0.5,6,42
promotion,619.1861944118926,275.1938641830634,68.79846604576585,0.4444444444444444,6,42
markdown,254.81056684520257,95.55396256695097,31.85132085565032,0.37500000000000006,6,43
none,692.5438770710599,346.27193853552996,69.25438770710599,0.5,6,43
promotion,451.8385743005705,200.81714413358688,50.20428603339672,0.4444444444444444,6,43
markdown,571.1271325840746,214.17267471902798,71.39089157300933,0.375,6,44
none,472.18900709390465,236.09450354695232,47.21890070939047,0.5,6,44
promotion,384.89952625604144,171.06645611379616,42.76661402844904,0.44444444444444436,6,44
markdown,492.04799114935656,184.5179966810087,61.50599889366957,0.37499999999999994,6,45
none,464.3191903090063,232.15959515450314,46.43191903090063,0.5,6,45
promotion,468.5733363117026,208.25481613853447,52.063704034633616,0.4444444444444444,6,45
markdown,658.9928452893168,247.1223169834938,82.3741056611646,0.37499999999999994,6,46
none,417.10028959961585,208.55014479980792,41.71002895996158,0.5,6,46
promotion,359.79738323934305,159.90994810637469,39.97748702659367,0.4444444444444444,6,46
markdown,456.9017060672597,171.33813977522237,57.11271325840746,0.375,6,47
