Strategy,Revenue,Profit,UnitsSold,ROI,Run
promotion,670.8399385719886,298.15108380977273,74.53777095244318,0.4444444444444445,10
markdown,733.903974724795,275.2139905217981,91.73799684059938,0.37499999999999994,11
none,904.3702928797962,452.1851464398981,90.43702928797961,0.5,11
promotion,960.5208211371653,426.89814272762897,106.72453568190724,0.44444444444444436,11
markdown,509.2394926661845,190.9648097498192,63.65493658327306,0.37500000000000006,12
none,1149.6232536607572,574.8116268303786,114.9623253660757,0.5,12
promotion,945.2744588968931,420.1219817319525,105.03049543298812,0.4444444444444444,12
markdown,718.9263425875545,269.59737847033296,89.86579282344431,0.37500000000000006,13
none,1302.9063541488583,651.4531770744292,130.29063541488583,0.5,13
promotion,579.3617651303538,257.4941178357128,64.3735294589282,0.4444444444444445,13
markdown,419.3736998427402,157.2651374410276,52.42171248034253,0.37500000000000006,14
none,735.7588823428847,367.87944117144235,73.57588823428847,0.5,14
promotion,1448.4044128258843,643.7352945892818,160.93382364732045,0.44444444444444436,14
markdown,554.1723890779067,207.814645904215,69.27154863473834,0.375,15
none,858.3853627333655,429.19268136668273,85.83853627333656,0.5,15
promotion,1189.2162547412522,528.5405576627787,132.13513941569468,0.4444444444444444,15
markdown,1213.1882031164982,454.94557616868684,151.64852538956228,0.375,16
none,1011.6684632214664,505.8342316107332,101.16684632214664,0.5,16
promotion,365.9126937665392,162.62786389623963,40.65696597405991,0.4444444444444444,16
markdown,434.3513319799809,162.88174949249284,54.29391649749761,0.375,17
none,1548.1593149298199,774.0796574649099,154.815931492982,0.5,17
promotion,625.100851851171,277.8226008227427,69.45565020568567,0.4444444444444445,17
markdown,973.5460889206468,365.07978334524256,121.69326111508084,0.37500000000000006,18
none,567.1474718059735,283.57373590298675,56.71474718059736,0.5,18
promotion,1051.9989945788002,467.555108701689,116.88877717542225,0.4444444444444445,18
markdown,793.8145032737581,297.6804387276593,99.22681290921976,0.375,19
none,751.0871923916948,375.5435961958474,75.10871923916947,0.5,19
promotion,1051.9989945788002,467.555108701689,116.88877717542225,0.4444444444444445,19
markdown,1228.1658352537388,460.5621882201521,153.52072940671735,0.37500000000000006,20
none,735.7588823428846,367.8794411714423,73.57588823428847,0.5,20
promotion,625.1008518511712,277.82260082274274,69.45565020568569,0.4444444444444444,20
markdown,853.725031822721,320.14688693352036,106.71562897784013,0.375,21
none,735.7588823428847,367.87944117144235,73.57588823428847,0.5,21
promotion,1006.2599078579829,447.226625714659,111.80665642866475,0.4444444444444444,21
markdown,898.657928234443,336.99672308791617,112.33224102930538,0.37500000000000006,22
none,628.460712001214,314.230356000607,62.84607120012141,0.5,22
promotion,1067.2453568190726,474.3312696973656,118.5828174243414,0.4444444444444444,22
markdown,1033.4566174696095,387.54623155110363,129.18207718370118,0.37500000000000006,23
none,950.3552230262261,475.17761151311305,95.03552230262261,0.5,23
promotion,609.8544896108987,271.046439827066,67.7616099567665,0.44444444444444436,23
markdown,1303.0539959399423,488.6452484774784,162.8817494924928,0.375,24
none,827.7287426357452,413.8643713178726,82.77287426357452,0.5,24
promotion,457.39086720817414,203.28482987029963,50.82120746757491,0.4444444444444445,24
markdown,1108.344778155813,415.6292918084299,138.54309726947662,0.37500000000000006,25
none,413.86437131787284,206.93218565893642,41.38643713178728,0.5,25
promotion,1067.2453568190726,474.3312696973656,118.5828174243414,0.4444444444444444,25
markdown,524.217124803425,196.58142180128442,65.52714060042813,0.37500000000000006,26
none,1272.2497340512382,636.1248670256191,127.22497340512382,0.5,26
promotion,808.0571987344408,359.1365327708626,89.78413319271564,0.4444444444444444,26
markdown,659.0158140385915,247.13093026447183,82.37697675482394,0.375,27
none,1134.2949436119472,567.1474718059736,113.42949436119473,0.5,27
promotion,808.0571987344408,359.1365327708626,89.78413319271564,0.4444444444444444,27
markdown,1003.5013531951282,376.3130074481731,125.43766914939103,0.375,28
none,919.6986029286056,459.8493014643028,91.96986029286056,0.5,28
promotion,670.8399385719886,298.1510838097727,74.53777095244317,0.4444444444444444,28
markdown,778.8368711365173,292.063826676194,97.35460889206466,0.37500000000000006,29
none,505.8342316107334,252.9171158053667,50.58342316107334,0.5,29
promotion,1311.187152663432,582.749845628192,145.687461407048,0.4444444444444445,29
markdown,464.3065962544622,174.11497359542335,58.038324531807774,0.37500000000000006,30
none,1394.8762144417187,697.4381072208594,139.48762144417188,0.5,30
promotion,747.071749773351,332.031888788156,83.007972197039,0.4444444444444444,30
markdown,374.4408034310181,140.41530128663177,46.80510042887726,0.375,31
none,1348.8912842952884,674.4456421476442,134.88912842952885,0.5,31
promotion,884.289009935803,393.01733774924577,98.25433443731144,0.4444444444444444,31
markdown,673.9934461758323,252.74754231593715,84.24918077197904,0.37500000000000006,32
none,965.6835330750362,482.8417665375181,96.56835330750361,0.5,32
promotion,960.5208211371654,426.8981427276291,106.72453568190727,0.4444444444444445,32
markdown,823.7697675482397,308.9136628305899,102.97122094352996,0.375,33
none,996.3401531726562,498.1700765863281,99.63401531726562,0.5,33
promotion,777.5644742538958,345.58421077950925,86.39605269487731,0.4444444444444444,33
markdown,928.6131925089246,348.22994719084676,116.07664906361558,0.37500000000000006,34
none,827.7287426357452,413.8643713178726,82.77287426357452,0.5,34
promotion,838.5499232149856,372.68885476221584,93.17221369055396,0.4444444444444445,34
markdown,748.8816068620359,280.8306025732635,93.61020085775449,0.375,35
none,1425.532834539339,712.7664172696695,142.55328345393391,0.5,35
promotion,426.898142727629,189.73250787894622,47.433126969736556,0.4444444444444444,35
markdown,1183.2329388420167,443.7123520657563,147.90411735525208,0.37500000000000006,36
none,413.8643713178726,206.9321856589363,41.38643713178726,0.5,36
promotion,991.0135456177104,440.4504647189824,110.1126161797456,0.4444444444444444,36
markdown,524.2171248034252,196.58142180128445,65.52714060042815,0.375,37
none,1241.5931139536178,620.7965569768089,124.15931139536178,0.5,37
promotion,838.5499232149856,372.68885476221584,93.17221369055396,0.4444444444444445,37
markdown,793.8145032737582,297.6804387276593,99.22681290921977,0.37499999999999994,38
none,904.3702928797957,452.18514643989784,90.43702928797957,0.5,38
promotion,899.5353721760756,399.7934987449225,99.94837468623062,0.4444444444444444,38
markdown,1183.2329388420167,443.71235206575625,147.90411735525208,0.375,39
none,659.1173320988343,329.5586660494171,65.91173320988344,0.5,39
promotion,747.0717497733508,332.0318887881559,83.00797219703898,0.4444444444444445,39
markdown,569.1500212151474,213.43125795568028,71.14375265189342,0.375,40
none,996.3401531726564,498.1700765863282,99.63401531726564,0.5,40
promotion,1036.7526323385275,460.7789477060123,115.19473692650307,0.4444444444444445,40
markdown,973.5460889206468,365.07978334524256,121.69326111508084,0.37500000000000006,41
none,751.0871923916947,375.54359619584733,75.10871923916947,0.5,41
promotion,869.0426476955306,386.24117675356916,96.56029418839229,0.4444444444444445,41
markdown,329.50790701929594,123.56546513223597,41.18848837741199,0.375,42
none,1456.1894546369592,728.0947273184796,145.61894546369592,0.5,42
promotion,823.303560974713,365.9126937665391,91.47817344163478,0.4444444444444444,42
markdown,763.8592389992766,286.44721462472876,95.48240487490958,0.37500000000000006,43
none,996.3401531726564,498.1700765863282,99.63401531726564,0.5,43
promotion,838.5499232149856,372.6888547622158,93.17221369055395,0.4444444444444444,43
markdown,1198.2105709792572,449.3289641172215,149.77632137240715,0.37500000000000006,44
none,398.5360612690626,199.2680306345313,39.853606126906264,0.5,44
promotion,991.0135456177104,440.4504647189824,110.1126161797456,0.4444444444444444,44
markdown,1063.4118817440908,398.7794556540341,132.92648521801135,0.37500000000000006,45
none,659.1173320988344,329.5586660494172,65.91173320988344,0.5,45
promotion,869.0426476955306,386.24117675356916,96.56029418839229,0.4444444444444445,45
markdown,314.5302748820551,117.94885308077066,39.31628436025689,0.375,46
none,1149.6232536607572,574.8116268303786,114.96232536607573,0.5,46
promotion,1143.4771680204349,508.21207467574885,127.05301866893721,0.4444444444444445,46
markdown,898.6579282344429,336.9967230879161,112.33224102930537,0.375,47
